computer science,c100000
tcd program for electronics and communication engineering,c108968
elect and comm,c108969
digital communication ne2rking,c108970
itesm engineering,c108971
information technology 1st shi,c108972
mein information technology,c108973
cse with specialization ne2rks,c108974
information techn,c108975
machine digain,c108976
electronics and communication engin,c108977
productin engineering,c108978
it hyd,c108979
vlsi ii shi,c108980
iem,c108981
mechaical engineering,c108982
peed,c108983
mechanical shi2,c108984
industrial refrigeration and cryogenics,c108985
as per syllabus psbte and it,c108986
manufacturing processing engineering,c108987
science and engineering,c108988
thermal science,c108989
mechanical eng,c108990
elelctronics and communication engineering,c108991
energy system,c108992
electronics and communication engineeringe,c108993
is special,c108994
bs innovation with mathematics and it,c108995
digital systems pt,c108996
electonics engineering,c108997
electroni and communication,c108998
elex and telecomm,c108999
electronic communication,c109000
mechanical engineeirng,c109001
electros and communicationnic,c109002
co education,c109003
electronic design technology,c109004
dmec,c109005
meug,c109006
production and industrial,c109007
mechanical enigneering productino,c109008
ce ii shie,c109009
manufacturing science and engineering 4y,c109010
etc vlsi design ,c109011
pg info tech,c109012
ec vlsi system design,c109013
course web designing,c109014
dcn,c109015
electronics and tele communication first shi,c109016
microelectronics and vlsi design,c109017
telecommunication and information technology,c109018
2 year,c109019
systems and signal processing,c109020
information security and cyber forensics,c109021
systems and netwroksecurity,c109022
computer enginnering,c109023
be2,c109024
electronics engineering with specialization iot based instrumentation,c109025
electronics fiber optics engineering,c109026
power systems,c109027
geophysicaltechnology,c109028
polytechinc,c109029
structural engineering as per university norms,c109030
printing and packaging lateral entry,c109031
drilling engineering,c109032
research/nanotechnology,c109033
dip electronic and tele comm engineering,c109034
itpi,c109035
safety and fire engineering,c109036
dtt,c109037
disaster,c109038
electronics instrumentation and control engineering,c109039
big data and data analytics,c109040
center for biomedical engineering,c109041
adv,c109042
bt 3c,c109043
and instrument technology,c109044
civil and structural engineering,c109045
appareal desing and fabrication technology,c109046
research / biotechnology,c109047
structural dy,c109048
construction engineering management,c109049
architecture and interior decoration,c109050
integrated mathematics and computer,c109051
bsh,c109052
control and automation,c109053
fashion tech,c109054
electric power systems,c109055
film editing,c109056
svra,c109057
engineering management,c109058
fire tech and safety,c109059
integrated and degree program,c109060
pet,c109061
i year general engineering,c109062
phdin centre for theoretical studies,c109063
alternate hydro,c109064
electronics and communication engineering 1,c109065
ee and am,c109066
msin cryogenic engineering,c109067
health care science and technology,c109068
research/nanobiotechnology,c109069
electrical and electronic engineering,c109070
aero dynamics,c109071
petrocam and pertoleum refinery engineering as per university norms,c109072
nanotech,c109073
information technology and entrepreneurship,c109074
plastics proc,c109075
handloom and textile technology,c109076
systems and control engineering,c109077
marine engineering,c109078
automotive mechatronics,c109079
printing tech,c109080
medical engineering,c109081
exploration geosciences,c109082
energy science and engineering,c109083
fashion appreal engineering,c109084
laser and electro optics,c109085
infromation technology,c109086
common subject,c109087
electronis and comm enginering,c109088
information and communication engineering,c109089
cnis,c109090
computer ne2rks and security,c109091
computer science and engineering direct second year,c109092
cse with spz oss,c109093
computer science and engineering ii shi,c109094
dcst,c109095
cse ism,c109096
computer science and engineering mobile computer,c109097
ne2rking engineering,c109098
cne,c109099
m tech cse,c109100
computer science and engineering with specialization ne2rks,c109101
computer science and ne2rking,c109102
computer engieering,c109103
dipploma enginerring,c109104
healtcare informatics,c109105
computer engineering part time,c109106
cst,c109107
integrated computer engineering,c109108
computer and engineering,c109109
pg civil engineering,c109110
ame leet,c109111
offset machine printing,c109112
ceramic,c109113
mining machinery engineering engineering,c109114
leather technology and leather technology footwear,c109115
phdin ocean engineering and naval architecture,c109116
integrated power system,c109117
pe and d,c109118
s and ae,c109119
au engineering,c109120
energy engineering and management part time,c109121
/automobile engineering,c109122
plastics processing,c109123
modeling and simulation,c109124
structure engineering,c109125
dress design 7 garment manufacturing,c109126
civil iwm,c109127
signal processing and communications navigation systems,c109128
epe,c109129
water engineering and management 2y,c109130
signal processing and communication wireless ne2rks and applications,c109131
s and h,c109132
phdin science water resources,c109133
phdin advanced technology development centre,c109134
aececseeit m and p,c109135
embedded and wireless technology/ embedded and wireless technology,c109136
photonic science,c109137
phdin industrial and systems engineering,c109138
power sys wd,c109139
fashine technoloyg,c109140
ocean engineering,c109141
applied and computer mathematics,c109142
intelligent automation and robotics,c109143
fire,c109144
cs/vlsi/ /ec/ce,c109145
apparel manufacture and design,c109146
industrial engineering and operations research,c109147
embedded systems and instrumentation/ embedded and instrumentation,c109148
ocean engineering and naval architecture 2y,c109149
ccna,c109150
mechanical /electrical/ civil/ e and c/automobile/computer science,c109151
msin geology and geophysics,c109152
moleculer medicine acns,c109153
bio medical engineering and ii,c109154
computer ne2rking and engineering,c109155
process instrumentation engineering,c109156
engineering mechanics,c109157
agriculture information technology,c109158
textile plant engineering,c109159
apparal production managment,c109160
ce3c augn,c109161
textile dyeing,c109162
it engineering,c109163
fashion and apparel technology,c109164
garment,c109165
control system,c109166
pce,c109167
management real estate construction and manaement,c109168
machne operation,c109169
petroleum engineering and technology,c109170
pharmaceutial science and technology,c109171
automotive product design,c109172
dip electronic engineering,c109173
dip dress designing and garment manufacturing,c109174
csis,c109175
mvm 4 wheeler,c109176
mech ed,c109177
health safety and environment,c109178
pct,c109179
applied petroleum engineering with spz gas stream,c109180
rotating eqp,c109181
fluid engineering,c109182
rocket propulsion,c109183
plastics mould design,c109184
glass and ceramic,c109185
systems engineering,c109186
machimist,c109187
ip engineering,c109188
mechantronics engineering,c109189
multimedia development,c109190
bachelore ofmechatronics engineering,c109191
cosmetic,c109192
cse 2,c109193
computer science and engineering 2 shi,c109194
engineering and tecnology,c109195
cse shiii,c109196
humanities and science,c109197
/ mechatronics,c109198
electricalinstrumentatio,c109199
energy science and engineering 2y,c109200
electronics and communication engineeering,c109201
msin ocean engineering and naval architecture,c109202
agriculture engineering soil and water conservation,c109203
computer science and engineering information security,c109204
computer science and engineering 0705,c109205
engineering technology,c109206
computer and elec,c109207
cse first shi,c109208
computer engineering 1st shi,c109209
computer engineering first shi,c109210
computer science and engineering blr,c109211
computer science and systems engineering,c109212
ece eee,c109213
electronics engineering with specilization broadband communication technology,c109214
engineering computer science and engineering cse,c109215
polytechnic computer science engineering,c109216
computer science and engineering evening,c109217
computer science and engineering soware engineering,c109218
computer science and engineering 2y,c109219
dual degree cse and cse,c109220
dcme ii shi,c109221
computer science and engineering / information communication technology,c109222
computer engineerging,c109223
msin computer science and engineering,c109224
computer science and engineering with specialization big data analytics,c109225
computer science and engineeing,c109226
engineering and technologyengineering and technology and technology,c109227
ccomputer engineering,c109228
computer ne2rk,c109229
civil engineering iind shi,c109230
polytechnic civil,c109231
civil engineerig,c109232
part time civil engineering,c109233
civil engineering fluids engineering,c109234
civil engieering,c109235
remote sensing and geomatics,c109236
civ,c109237
civil engineering structural engineering,c109238
construction engineerig and management,c109239
structural,c109240
transportation engineering,c109241
civil engineering 1st shi,c109242
civi,c109243
structural engineering and natural disaster management,c109244
ctm,c109245
geotechnical engineering,c109246
civil te,c109247
masters computer engineering,c109248
survey engineering,c109249
building technology and construction management,c109250
construction technology and management,c109251
construction,c109252
phdin civil engineering,c109253
construction engineering,c109254
civil eng second shfit,c109255
geo technology,c109256
civil integrated,c109257
computer aided structural engineering,c109258
/ civil,c109259
civil structural engineering,c109260
structural engineering pt,c109261
agriculture and irrigation,c109262
structal,c109263
geotechnical,c109264
habit later entry,c109265
professional mathematics engineering mechanics soil mechanics hydraulic and fluid mechanics computer programming through 'c,c109266
polytecnic civil second shi,c109267
civil engineeing,c109268
transportation egineering,c109269
civil enginnering,c109270
civl,c109271
civil external,c109272
construction engineering and management part time,c109273
construction engineering and mangement,c109274
soil mechanics and foundation engineering,c109275
civil water resource,c109276
civil integrated program,c109277
civil engineering ge,c109278
railway engineering 2y,c109279
civil engineering subject,c109280
civil engineering cbe,c109281
polytechnic civil engineering,c109282
machine learning,c109283
basic science and humanities,c109284
regular thermal engineering,c109285
industrial safety and hazard management,c109286
oil and fats,c109287
ic engines,c109288
atmos science,c109289
mese,c109290
manufacturing engineering and technology,c109291
mechanical engineering gl,c109292
instru,c109293
embedded controls and soware 2y,c109294
interior design and decoration,c109295
medical lab tchnology,c109296
corrosion science and technology,c109297
water technology and health science,c109298
mein electronics and telecommunication engineering,c109299
mse,c109300
geo technical engineering,c109301
packing tech,c109302
electronics and telecommengineering,c109303
msin advanced technology development centre,c109304
modern office managment and secretrial practice,c109305
technology alternatives for rural areas,c109306
polytechnic biomedical engineering,c109307
vlsi and computer engineering,c109308
biotechnology genomics and proteomics technology,c109309
design for manufacturing,c109310
polymer science and engineering,c109311
genetic,c109312
footwear tech,c109313
cciipa,c109314
print and graph,c109315
phdin nano science and technology,c109316
energy systems and management,c109317
ceeceemecs,c109318
opto electronics and laser technology,c109319
rac,c109320
system engineering,c109321
textile tech,c109322
leather technology tanning,c109323
telecommunication ne2rks,c109324
electronics and telecomunication second shi,c109325
b pharm and m pharm,c109326
dic,c109327
structures,c109328
mechanical engi,c109329
dse mechanical,c109330
mechanical engineering with specialization industrial system engineering,c109331
production 1st shi,c109332
pdis,c109333
cad cam mechanical,c109334
design and dynamics,c109335
ccqc,c109336
health safety and environment mgt,c109337
phdin biotechnology,c109338
nanosciences acns,c109339
wireless comm,c109340
phdin rajendra mishra science engineering entrepreneurship,c109341
air armament,c109342
material and devices,c109343
mathematics applied science english,c109344
survey,c109345
biotech and biochemical engineering 4y,c109346
pse,c109347
renewable energy science and technology,c109348
and dual degree,c109349
nuclear science and engineering,c109350
control system engineering,c109351
shi2 engineering,c109352
mechanical engineerng,c109353
me2,c109354
heating ventilation and air conditioning,c109355
mechanical engineering mtmr sw,c109356
and mechanical engineering,c109357
mechanical emgineering,c109358
post advanced technological course refrigeration and air conditioning sw,c109359
mechanical engineerig production,c109360
dmt with credits distance education,c109361
mechanical engineering morning,c109362
ii shi,c109363
mechanical engineering mechanical engineering design,c109364
advanced manufacturing technologies,c109365
vlsi and embedded systems design,c109366
electronics and communcation engineering,c109367
information technology shi,c109368
computer science and engineering 2nd shi,c109369
be5,c109370
electronics and communication engineering microwave communication engineering,c109371
ej12g,c109372
master information technology,c109373
elecronics and tele communication,c109374
material science and technology,c109375
mechanical product design and development,c109376
spacial info technology,c109377
information trchnology,c109378
bachelor information technology,c109379
vlisi,c109380
mechanical engineering department,c109381
professional mathematics engineering mechanics computer programming through 'c' basic electronic engineering,c109382
digital signal and image processing,c109383
ece ii shi,c109384
eletronics and communication,c109385
comunication system,c109386
systems and signal processing 1st shi,c109387
electronis design technology,c109388
vsli,c109389
mechanical 2nd,c109390
integrated electronics and comm engineering,c109391
psa,c109392
signal processing and digital design,c109393
by research electronics and communication engineering,c109394
applied electronics and communications,c109395
electonics and communications,c109396
micro and vlsi electronics,c109397
electronics and communication engineering with specialization communication systems,c109398
biometrics and cyber security,c109399
biomedrics and cyber security,c109400
computer science and applicationnce ,c109401
csph,c109402
cse 2nd,c109403
computer engineerin,c109404
cse rc,c109405
computer technology and applications,c109406
computer science and engieering,c109407
electronics and telecom engineering,c109408
electonics and telecomminication,c109409
vlsi and embadded system,c109410
electronics and communication engineering and communication engineering,c109411
et and tc,c109412
embedded systems and vlsi design,c109413
part time electronic,c109414
vlsisd,c109415
electrnic system design and control,c109416
science engineeringr engineering,c109417
under graducate,c109418
d ece,c109419
ites and m,c109420
hci,c109421
electx and comm,c109422
bachelore information technology,c109423
electronics and tc engineering,c109424
thermal and fluid engineering,c109425
elcronics and communication engineering,c109426
product design and development pt,c109427
advanced manufacturing system,c109428
electronis and communications,c109429
instrumetion,c109430
energy and environmental management,c109431
fire safety engineering,c109432
biotechnology evening,c109433
civil irre water,c109434
post knitting and garment technology,c109435
msin medical science and technology,c109436
bio technology engineering,c109437
urban and regional planning,c109438
exploration geosciencesn,c109439
process instrumentation,c109440
telecom technology,c109441
electrical and mechanical,c109442
printing engineering and communication graphics,c109443
water and environmental technology,c109444
computer ne2rk first shi,c109445
computer science and engineering m tech,c109446
computer science ii shi,c109447
computer science and engineering pg,c109448
biomedical signal processing and instrumentation,c109449
ecn,c109450
dig comm,c109451
advanced electronics and communication,c109452
electronics and communicatin engineering,c109453
ece integrated,c109454
communical control and ne2rking,c109455
vlsi systems and design,c109456
electronics ce,c109457
electronic and communications engineering,c109458
engineer,c109459
embeeded systems 2nd shi,c109460
electronics communication and engineering,c109461
electronics engineering modern consumer electronic appliances,c109462
electronics and tellecommunication engineering,c109463
ece 2,c109464
wireless and mbile communication,c109465
signal and image processing,c109466
electronics and communiication,c109467
eclectronis and communication engineering,c109468
electronica and telecommunication,c109469
e and tele,c109470
electronics and ntelecom engineering,c109471
elce,c109472
electronics and telecomunication,c109473
elecronics and telecommunication engineering,c109474
post graduate applied electronics,c109475
electronics subjects,c109476
ec engineering,c109477
integrated electronics and communication engineering program,c109478
digital electorincs and communication engineering,c109479
electronics and telecom,c109480
cs and it pg,c109481
eps,c109482
computer science and engineering department,c109483
computer and science engineering,c109484
computer negineering,c109485
cse computer science and engineering,c109486
spatial informatics,c109487
computer science and engineering 4 years,c109488
engineering cek,c109489
computer engineeringonics engineering,c109490
cse 2nd shi,c109491
computer science and engineering android application development,c109492
computer science and engineering machine learning,c109493
computer science and engineering cyber security,c109494
computer science e,c109495
dcme i shi,c109496
computer science engineering as per uni norms,c109497
ne2rk technology,c109498
computer ne2rk and information security,c109499
computer science and tech,c109500
cs and e,c109501
cyber forensic and security,c109502
computer vision and image processing cbe,c109503
etm,c109504
electronics and video,c109505
utomobile engineering,c109506
mechanical engineering modular,c109507
aerodynamics and flight mechanics,c109508
cpid,c109509
mechnical engineering pro,c109510
electronic and telecommunication engineering,c109511
advanced materials technology,c109512
101 102 103 104 105,c109513
mepg,c109514
mechanical engineering r and ac,c109515
design and production engineering,c109516
microwave and optical communiation,c109517
eee and hpe,c109518
electronics design and technology,c109519
manufacturing processing,c109520
mechanical engineering evening,c109521
mechanical e,c109522
chemistr etc,c109523
mechinical second shi,c109524
rf and microwave engineering 2y,c109525
vlsi engineering,c109526
ost graduate computer and communication specialization ne2rks,c109527
digital communicatin,c109528
ec5,c109529
digital systems engineering,c109530
elctronic and telecommunication,c109531
radar and microwave engineering,c109532
electronics and communication engineering design and manufacturing and signal processing and communication system design,c109533
electronics engineeing,c109534
electronics and telecommunication engineerig,c109535
systems and signal processing 2nd shi,c109536
electronics and teleecom,c109537
electronics and instrumentation engineering lateral entry,c109538
ecug,c109539
signal design and digital design part time,c109540
quality engineering and management,c109541
production engineering and engineering design,c109542
mechanicl engineering,c109543
cad cam and engineering,c109544
automobile eng and production engineering,c109545
engineering design pt,c109546
mechanical related subjects,c109547
manufacturing engineering cbe,c109548
computer aided design part time,c109549
mechanical engineeringl,c109550
mechanical engineering pt,c109551
machanical engineering ii shi,c109552
mechanical engeneering,c109553
thermo fluidengineering,c109554
computer integrated manuacturing,c109555
electronics and telecommuniation engineering,c109556
electronics and communication eingineering,c109557
daeie,c109558
vlsi design and embedded sytem s,c109559
electronicsand communications,c109560
signal processing and communication,c109561
digi tal com mun icat ion s,c109562
electronics and instrumentation engineering cbe,c109563
electroncs,c109564
/etc,c109565
rf and micro,c109566
ecph,c109567
elect and elec com engineering dual 5y with available special branch,c109568
signal processing and digital design part time,c109569
optical comm,c109570
electronics and communication engineering modular,c109571
etrx,c109572
electronics and tele co,c109573
electronics and communication engineering design and manufacturing and vlsi and electronic system design,c109574
digital electronicselectronics,c109575
signal processing and communicati ons,c109576
elctronics and communication,c109577
electronic communication and engineering,c109578
elcectronics and telecommunication engineering,c109579
electronics and commun,c109580
communication and radar systems,c109581
micro and nano electronics,c109582
mechainical engineering,c109583
mechanical prod engineering,c109584
mechancal,c109585
mechatronics mt,c109586
atuomobile engineering,c109587
mechanical 2nd shi,c109588
thermal engneering,c109589
mechancial,c109590
advance production system,c109591
precision manufacturing,c109592
tom ten mpr dme ifp edp,c109593
mechanical enigneering,c109594
mechanical t and d,c109595
mecanical,c109596
thermal and propulsion,c109597
design and draing,c109598
mechanial,c109599
polytechnic mechanical automobile,c109600
manufacturing science and engineering 2y,c109601
product lifecycle management,c109602
lean manufacturing,c109603
mechatronics shi,c109604
hvac,c109605
mechnical production and auto,c109606
dmech,c109607
mechanical r and ac,c109608
welding engineering,c109609
mechnaical engineering production,c109610
automotive engineering cbe,c109611
mechanical engineering sandwich pattern,c109612
cad /cam,c109613
mech production,c109614
mechanical engineering automobile lateral entry,c109615
manufacturing part time,c109616
turbo machinery pt,c109617
cad/caml,c109618
mechanical engineering`,c109619
mehcanical,c109620
design and thermal engineering,c109621
mec hanical engineering,c109622
mechanical engineering rac,c109623
high science,c109624
post graduation,c109625
part time mechanical engineering,c109626
mce,c109627
mechanical engnieering auto,c109628
electronis and communication engineering,c109629
electronics and commn engineering,c109630
ele and comm engineering,c109631
electronics and communica,c109632
electronics and telecommunicati on engineering,c109633
ece engineering,c109634
bachelore electronics and communication engineering,c109635
electronic and telecommunacation engineering,c109636
electrical power systems,c109637
research/electronics,c109638
vlsi and embodded systems,c109639
electronics and instrumentation engineering technology,c109640
electronics and communication eningeering,c109641
hydraulic and water resources part time,c109642
foundation,c109643
structural and construction engineering cbe,c109644
transport,c109645
dse civil engineering,c109646
highway engineering,c109647
tech,c109648
civil 1st shi,c109649
transportation,c109650
structural engineering time,c109651
water resource engineering and management,c109652
civil phe,c109653
str,c109654
civil engineering evening,c109655
civil enginering,c109656
civil seda,c109657
civil egg,c109658
cads,c109659
civil and environmental engineering department,c109660
civil ptdc,c109661
mech civil com e ,c109662
civil engineering soil mechanics,c109663
structural engineering part time,c109664
/civil engineering,c109665
civil tamil,c109666
structural design,c109667
civil engineering ics,c109668
civi engineering,c109669
civil engineering ii shi,c109670
water resources engineering,c109671
civil structural design,c109672
hydraulics engineering,c109673
civil shiii,c109674
civil engineerin,c109675
civil engineering as per university norms,c109676
geoinformatics and its applications,c109677
infra structural engineering,c109678
water,c109679
civilengineering,c109680
structrual engineering,c109681
naagr,c109682
civil engineering ,c109683
safety construction pratices,c109684
construction technology,c109685
civil engineering transportation engineering,c109686
civil engineering with structural engineering,c109687
civil engnineering,c109688
civil engineering part time,c109689
civil construction engineeirng,c109690
pgce,c109691
civil engineering english medium,c109692
rcc const tech bulding drg surveying etc,c109693
stuctural engineering,c109694
civil eng,c109695
hydromech and water management pt,c109696
coastal management,c109697
integrated civil engineering,c109698
ce augn,c109699
civil subjects,c109700
civil engineering leet,c109701
env,c109702
civil engineering shiii,c109703
civil engineering shii,c109704
civil construction,c109705
construction techniques and management,c109706
strcuture engineering 2nd shitf,c109707
structural foundation and engineering,c109708
health science and water engineering,c109709
habit,c109710
civil engineerng,c109711
civil and structural engineering lateral entry,c109712
geomechanics and structures,c109713
geotechnology engineering,c109714
geotec,c109715
electronics and communication engineeirng,c109716
eletronics and telecomm engineering first shi,c109717
electronics engineeri,c109718
it 2nd,c109719
informatio and technology,c109720
ece 1st shi,c109721
cn and is,c109722
1 year,c109723
lectronics and communication engineering,c109724
structural engineering and construction management,c109725
ste,c109726
civil engeering,c109727
soil mechanics,c109728
irrigation water management and resource engineering,c109729
environmental engineering part time,c109730
structural engineering 2y,c109731
environmental engineering and management 2y,c109732
civil structural lateral entry,c109733
electronics and communcatio engineering,c109734
power plant engineering and energy management,c109735
tool and die making and precision manufacturing,c109736
master electronics and communication engineering,c109737
ds and ce,c109738
digital communications,c109739
civil engineering construction engineering and management,c109740
civil engineering environment pollution and control,c109741
water resources management,c109742
infrastructure engineering and management,c109743
civil bst,c109744
hydraulic and water resources engineering 2y,c109745
structural external,c109746
civil water management,c109747
civil engineering with specialization structural engineering,c109748
construction engineering and mamagement,c109749
civil engineering 2nd shi,c109750
ce ctm,c109751
water resources engineering and management,c109752
structural enginnering,c109753
civil structure,c109754
civil 2nd shi,c109755
computer adied structural analysis and design,c109756
prestressed concrete,c109757
civil engnieering,c109758
constr,c109759
structural construction engineering,c109760
enviroinmental engineering part time,c109761
civil engineering tamil medium,c109762
town and country planning,c109763
civil and environmental engineering,c109764
integrated water resource management,c109765
construction planning and management,c109766
civil engine,c109767
highway,c109768
civil em,c109769
sol mechanics and foundation engineering,c109770
civil engineerging,c109771
highway technology,c109772
engineeering,c109773
structural engineering and management,c109774
cem,c109775
civil engineering with specilization forensic structural engineering,c109776
structural engineering and constuction management,c109777
ceug,c109778
ceg,c109779
civil tm,c109780
cee,c109781
hydraulic structure,c109782
strc,c109783
civil engin eering,c109784
water resources and management,c109785
by research civil,c109786
civil e,c109787
rural technology centre,c109788
structural eng,c109789
engineering and technologyengineering,c109790
civil iem,c109791
electronics and telecommunication egnineering,c109792
electronics and instrumentation enginnering,c109793
applied electronics and instrumental,c109794
digital communicaitons,c109795
opoelectronics,c109796
electronics and tele comm engineering,c109797
micro elecronics and vlsi,c109798
electrical engineering industrial control,c109799
electrical andelectronicsengineering,c109800
eeii shi,c109801
/ cs and it 5years integrated programme,c109802
soware engineering and management,c109803
computer science and information system,c109804
computer science and communication engineering,c109805
electronics and instrumentiaon engineering,c109806
vlsi technology,c109807
optics and opto electronics,c109808
electronics digital system,c109809
electrinics,c109810
electronics and communiction engnieering,c109811
electronics and telecommunation,c109812
electronics and communication engineering shiii,c109813
electronics and communication engineering optical fiber communication engineering,c109814
degital sysytems,c109815
electronic and tele communication,c109816
advance manufacturing system,c109817
therma engineering,c109818
by research mechanical,c109819
health care informatics and management,c109820
mechanical egg,c109821
electronics and tele engineering,c109822
mech civil electrical eletronics,c109823
department electronics and telecommunication engineering,c109824
digital elex,c109825
emb sys,c109826
ete,c109827
electronic circuits and systems design,c109828
electronics and communication engineering engineering,c109829
ece wmc,c109830
electronics part time,c109831
applied elecrtonics,c109832
electrinics and communications,c109833
electronics and communication enginenering,c109834
communication engineering and signal processing cbe,c109835
electronics andcommunication engineering,c109836
communication ne2rks,c109837
electro nics and commun ications enginee ring,c109838
electronics wireless technology,c109839
eclectronic and communication,c109840
etc engineering,c109841
electronics design and manufacturing,c109842
electronica,c109843
digital systems and computer application,c109844
electronics and communication engineering wireless communication engineering,c109845
wired and wireless communication,c109846
advanced communication and information systems,c109847
electronics and telecommunicatio,c109848
engengineering and technologyineering and technology and technology,c109849
electronics and telecommunication first shi,c109850
instrumentationt,c109851
electronics and communication enginnering,c109852
electroncs engieering,c109853
electronics and communication evening,c109854
eis,c109855
radar and communication,c109856
electronics and communication engineering internet things,c109857
e and tc engineering,c109858
eklectronics and telecommunication,c109859
vlsi and embedde systems,c109860
vlsi and emb sys,c109861
embeeded systems technologies,c109862
cepg,c109863
civil engineering general,c109864
transportation engineering part time,c109865
electronics and communication engineerng,c109866
dece i shi,c109867
electroncis and tele comm engineering second shi,c109868
electronice engineering,c109869
ece vlsi,c109870
very large science integration design,c109871
ee and eee,c109872
dsce es,c109873
pg electronics and telecommunication engineering,c109874
electronics design technology,c109875
vlsi and embedded,c109876
mobile communication and ne2rk technology,c109877
communication syestems,c109878
electronics and communication engeneering,c109879
ii shi embedded systems,c109880
electronics and communication engineering design and manufacturing,c109881
eletronics and communication engineering,c109882
electronics and communication ii shi,c109883
electrical and electronics engineering lateral entry,c109884
embaded systems,c109885
electronics and communication engineering department,c109886
dece 0708,c109887
electronics basics,c109888
wireless communication systems,c109889
communication engineering and signal processing,c109890
electronics and instrum,c109891
engineering sp and c,c109892
communications system,c109893
electronic subjects,c109894
electronics and communicatio0n,c109895
emvl,c109896
vlsi 2nd shi,c109897
electronics and telecomm engineering ii shi,c109898
disaster mitigation,c109899
digital systems engineering pt,c109900
vlsi design and system,c109901
instrumental engineering,c109902
e and t/c,c109903
msin electronics and electrical communication engineering,c109904
vlsi design automation and techniques communication systems and ne2rks,c109905
polytechnic electronics and communications engineering,c109906
very large science integration circuit,c109907
spc,c109908
electronic and telecomm,c109909
direct second year electronics and telecomm engineering,c109910
electroinics and communication,c109911
ece wk,c109912
electronics and communication engineering e,c109913
electronics and tele communication engineerin,c109914
electronics and communicatiobn engineering,c109915
electronics and telecomm engineering,c109916
electronics tele com engineering,c109917
digital communicati ons,c109918
electronics and communication engineering ece,c109919
master communication systems,c109920
electronics and communicaion,c109921
electronics and commumication engineering,c109922
vlsic design,c109923
ece/decs,c109924
masters embedded systems,c109925
masters electronics and communications,c109926
electronica and telecommunication engineering,c109927
de and cs,c109928
microwave and radar engineering,c109929
electronics and communication engine,c109930
ldn,c109931
electronics and communication engineering 4 years,c109932
communication and information systems,c109933
electronics instrumenation,c109934
vlsi systems,c109935
electronics and technology,c109936
control and instrumentation engineering cbe,c109937
electronics pg,c109938
electronics and communiocations engineering,c109939
electronicsandcommunications,c109940
electronics and media technology,c109941
electronics and communication enginneerinng,c109942
b e and m e ece 5years integrated programme,c109943
electrical and electronics engineering eee,c109944
vlsi ece,c109945
wireless and mobile communicaion,c109946
optoelectronics,c109947
ece es,c109948
communications systems,c109949
vlsi and embdded system,c109950
radio and electronics,c109951
vlsi design cbe,c109952
communicatin systems,c109953
dec,c109954
computer techniques,c109955
electronics and tele communicatio,c109956
elcetronics and communication comm,c109957
electronic and commnication,c109958
master electronics engineering,c109959
disciplinde,c109960
engineering electronics and communication engineering ece,c109961
electronic telecommunication,c109962
dmee,c109963
electronica and communication engineering,c109964
electronics and telecommunicationsengineering,c109965
electronics engineering modern consumer electronics appliances,c109966
electronics and commn,c109967
biotechnologys,c109968
electronics and communications evening,c109969
electnonics,c109970
vlsi and embedded system 2nd shi,c109971
micro electronics and vlsi design,c109972
electronic and telcommunication engineering,c109973
advanced communication systems,c109974
electrionic and communication,c109975
embedded system and vlsi,c109976
integrated electronics and communication engineering,c109977
entc,c109978
lvs,c109979
electronics and communicatin,c109980
vlsi and embedded systems design and communications engineering,c109981
industrial electronics 2nd shi,c109982
embedded sytstem,c109983
electronics and commmunication,c109984
e and t/c vlsi and embedded system,c109985
electronic s and communicat ions engineering,c109986
electronic communication engineering,c109987
201 202 203 204 205,c109988
electronics and communication engineering 1st shi,c109989
part time ece,c109990
eletronics engineering,c109991
electronics micro,c109992
vlis and es,c109993
dipoma,c109994
electronics adn communication,c109995
elctronicsand communication,c109996
electronicsl,c109997
mechanical engineering cad cam,c109998
mechanical engineering robotics and mechatronics,c109999
polytechnic mechanical engineering production,c110000
mechanical engineering lateral entry,c110001
mechanical robotics and automobile,c110002
mechanical engineering tamil medium,c110003
masters machine design,c110004
manufacturing egnieering,c110005
machine design and analysis,c110006
mechanical engineering industrial engineering and management,c110007
automation,c110008
cad/cam and prodution,c110009
applied mechanicas,c110010
civil engineering with specialization structural engineering mag/transportation engineering,c110011
structure,c110012
civil environmental enginering,c110013
civil bang,c110014
construction management and engineering,c110015
civil epc,c110016
dfcs with credits distance education,c110017
mechanical engineering english medium,c110018
mechanicl,c110019
product and industrial engineering,c110020
mech tm,c110021
mechanical unaided,c110022
ae2,c110023
mechanical engineeering,c110024
manafacturing engineering,c110025
foundry and forging,c110026
cad and cam,c110027
mechanical second shi,c110028
mechanical engineering with specialization production engineering,c110029
heat powar engineering,c110030
thermal engineering mechanical,c110031
internal combustion and automobiles,c110032
geotechnical engineering 2y,c110033
ne2rk systems,c110034
mechanical engineering industry integrated,c110035
research/mechanical engineering,c110036
engineering materials,c110037
computer design,c110038
manufaring engineering,c110039
direct 2nd mechanical engineering,c110040
mechanical engineering production lateral entry,c110041
tharmal engineering,c110042
ic engines and energy systems,c110043
mechanica engineering,c110044
mech civil com e and tc,c110045
industrial engineering management,c110046
mechanical engineering direct second year,c110047
masters engineering and management,c110048
computer science and engineerin,c110049
analytics and decision science,c110050
system s/w,c110051
computer engineering and infromation security,c110052
computer related trophics,c110053
computer engineering morning,c110054
computer technology 0719,c110055
computer second shi,c110056
computer science engineering with specialization graphics and gaming association with ibm,c110057
computer science and emgineering,c110058
cse cloud computer,c110059
