,discipline,discipline_clean
110518,CIVIL ENGINEERING ENVIORNMENT POLLUTION AND CONTROL,civil engineering enviornment pollution and control
110527,CASE,case
110547,Civil Engineering (Transportation),civil engineering transportation
110553,Civil Engg (2nd Shift ),civil engineering 2nd shi
110587,STRUCTURAL  ENGINEERING,structural engineering
110596,Water Resource Engineering (Part time),water resource engineering part time
110619,DIPLOMA IN CIVIL ENGINEERING(SW),civil engineering sw
110621,Environmental Engineering & Management,environmental engineering and management
110627,Civil Environmental,civil environmental
110637,Cvil  Engineering,cvil engineering
110646,TRANSPORTATION ENGINEERING,transportation engineering
110647,Civil + MBA,civil 
110648,Civi Engg.,civi engineering
110649,STRECTURAL ENGINEERING,strectural engineering
110655,Communiction Skill,communiction skill
110664,B.Tech. (Electronics & Communication Engineering) (VLSI Design),electronics and communication engineering vlsi design
110665,electronics engg.,electronics engineering
110672,ELECTRONICS & TELE COMMUNICATION,electronics and tele communication
110673,VLSI and Embeded System,vlsi and embeded system
110679,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING,applied electronics and instrumentation engineering
110680,ELECTRONICS & COMUNICATION,electronics and comunication
110683,Electronics & Tele Communicationm,electronics and tele communicationm
110694,Electrical Engineering Power Electronics,electrical engineering power electronics
110727,VLSI SYSTEM DESIGHN,vlsi system desighn
110729,Communication Systems (PT),communication systems pt
110732,ELECTRONICS ENGINEERRING,electronics engineerring
110736,E&Tc. Engineering,e and tc engineering
110738,ELX,elx
110740,ELCTRONICS & TELECOMMUNICATION,elctronics and telecommunication
110743,Electronics  & Telecommunication Engineering,electronics and telecommunication engineering
110749,Electronics Engineering (Digital and Microprocessor System),electronics engineering digital and microprocessor system
110750,DIGITAL COMM.,digital comm
110751,VLSI Design     & Embeded System,vlsi design and embeded system
110766,ADVANCED COMMUNICATION & INFORMATION SYSTEMS,advanced communication and information systems
110780,Electronics and Computer Engineering,electronics and computer engineering
110782,EC/ICE/EEE,ec/ice/eee
110788,EMBEDDED SYSTEMS &VLSI DESIGN,embedded systems and vlsi design
110795,Embedded System Design,embedded system design
110796,electronics & Telecommunication Engineering,electronics and telecommunication engineering
110809,Comm.Sys,comm sys
110815,VLSI & EMBEDDED SYSTEMS DESIGN,vlsi and embedded systems design
110818,Ind.Elext.,ind elext
110820,Electronics and Communiction Engineering,electronics and communiction engineering
110828,VLSI & ESD,vlsi and esd
110847,MICRO ELECTRONIC& VLSI DESIGN,micro electronic and vlsi design
110848,ELECRONICS,elecronics
110850,Electronics&Communications engineering,electronics and communications engineering
110853,Digital Comminication,digital comminication
110856,Digital Systems & Signal Processing,digital systems and signal processing
110864,Electronics Engineering - 020,electronics engineering 020
110867,ELECTRONICS  & COMMUNICATION ENGINEERING,electronics and communication engineering
110877,Integrated B.Tech. (Electronics & Communication Engineering) - MBA,integrated electronics and communication engineering
110878,Electronics &Tele-communicatio  Engineering,electronics and tele communicatio engineering
110881,Electronics & Communication Engi.,electronics and communication engi
110882,ELECTRONICS & TELE COMMUNICATION ( SECOND SHIFT ),electronics and tele communication second shi
110883,Electronics and   Communication,electronics and communication
110885,Electronic Circuit & System,electronic circuit and system
110886,Electrnics and Communication Engineering,electrnics and communication engineering
110906,ELECTRONICS & COMMUNICATION ENGINEEARING,electronics and communication engineearing
110910,EC_PG,ecpg
110915,ECE-SECOND SHIFT,ece second shi
110917,"Automotive Electronics (ASE, CBE)",automotive electronics cbe
110937,Structual Engineering,structual engineering
110944,SYSTEMS AND SYGNAL PROCESSING,systems and sygnal processing
110950,Advanced Communication& Information System,advanced communication and information system
110954,VLSI and embedded system design,vlsi and embedded system design
110969,elctronic engineering,elctronic engineering
110983,Electronics and Communication engineering,electronics and communication engineering
110986,VESD,vesd
110996,etc engg,etc engineering
111003,M.E (AEL),ael
111007,VLDI & ES,vldi and es
111009,B.Tech/ Electronics & Communication Engineering,/ electronics and communication engineering
111014,COMMUNCATION SYSTEMS,communcation systems
111018,Electronics &Communication Engg,electronics and communication engineering
111020,2ELECTRONICS AND COMMUNICATION ENGG II SHIFT,2electronics and communication engineering ii shi
111023,COMMN. & NETWORKING,commn and ne2rking
111025,POWER SYSTEMS,power systems
111028,Vastuviniyoga,vastuviniyoga
111029,CIVILENGG,civil engineering
111030,CIVIL ENGINEERING - FIRST SHIFT,civil engineering first shi
111032,St.Engg.,st engineering
111033,Civil Engineering  (Tamil Medium),civil engineering tamil medium
111035,CIVIL:,civil:
111066,Digital Communication II Shift,digital communication ii shi
111069,Communication and Networks,communication and ne2rks
111071,Electronocs and Telecommunication,electronocs and telecommunication
111073,ELECTRONIC AND COMMUNICATION ENGG,electronic and communication engineering
111077,Electronics & Communication Engineering (Lateral),electronics and communication engineering lateral entry
111087,B. TECH.ELECTRONICS & COMMUNICATION ENGINEERING,electronics and communication engineering
111118,ELECTRONICS  dESIGN & tECHNOLOGY PART TIME,electronics design and technology part time
111122,ELECTRONICS AND  COMMUNICATIONS ENGINEERING,electronics and communications engineering
111128,Electronic and Telecommunication Engg,electronic and telecommunication engineering
111129,ece(vlsi),ece vlsi
111133,ELECTONICS    AND COMMUNICATION ENGINEERING,electonics and communication engineering
111134,Civil Eneering,civil eneering
111136,CIVIL ( CONSTRUCTION) ENGINEERING,civil construction engineering
111145,Engieering,engieering
111147,CONSRUCTION ENGINEERING,consruction engineering
111155,Environment & Pollution Control,environment and pollution control
111157,Highway Engineering,highway engineering
111158,Hydraulic Structures,hydraulic structures
111161,CIVIL & INFRASTRUCTURE ENGINEERING,civil and infrastructure engineering
111164,Structural Engineering (FT),structural engineering
111171,STR,str
111178,Renewable Energy Technology,renewable energy technology
111187,20,civil engineering
111188,Structural Engineering - Part Time,structural engineering part time
111193,CIVIL TAMIL MEDIUM,civil tamil medium
111198,CIVIL-2nd SHIFT,civil 2nd shi
111215,M.Tech Environmental Engineering,environmental engineering
111244,Civil Engneering,civil engneering
111254,STR ENGG,str engineering
111257,Civil Engineering  (2nd Shift),civil engineering 2nd shi
111258,Contruction Technology,contruction technology
111264,Civil Engeenering,civil engeenering
111271,Civil - English,civil english
111276,Civil Infrastructure Engineering,civil infrastructure engineering
111277,M.TECH CADS,cads
111291,E&ce,e and ce
111294,ELECTRONICS AND  TELECOMMUNICATION ENGINEERING,electronics and telecommunication engineering
111303,Electronics and Communication Engineering  and Communication Engineering,electronics and communication engineering and communication engineering
111308,Electronics and  Communicvation  Engineering,electronics and communicvation engineering
111314,MICROWAVE ENGG,microwave engineering
111318,Systems & Signal Processing (PT),systems and signal processing pt
111321,V.L.S.I.Design,vlsi design
111322,ELECTRONICS & COMMUNICATION.,electronics and communication
111326,ELECTRONICS & COMMUNICATION ENGINEERINGIC,electronics and communication engineeringic
111336,Electronics and Telecommunication Engineering -  Microwaves,electronics and telecommunication engineering microwaves
111342,Electronic & TelecommunicationEngineering,electronic and telecommunicati1ngineering
111344,ELECTRONIC CIRSUITS AND SYSTEM DESIGN,electronic cirsuits and system design
111361,M.Tech  (VLSI Design),vlsi design
111368,Ind.Electronics,ind electronics
111371,Microwave & Radar Engineering,microwave and radar engineering
111372,B.Tech. (Electronics & Communication Engineering) (Embedded System),electronics and communication engineering embedded system
111375,ELECTRONIC TELE COMMUNICATION ENGINEERING,electronic tele communication engineering
111383,ELECTRONICS ENG.,electronics eng
111385,Electronics &communication Engg,electronics and communication engineering
111386,ELECTRONICS & TELECOMUNICATION ENGINEERING(SECOND SHIFT),electronics and telecomunication engineering second shi
111392,Diploma in Electronics & Communication Engineering & Technology,electronics and communication engineering and technology
111397,M.E E&T/C Signal Processing,e and t/c signal processing
111399,Electronics and Communication and Engineering,electronics and communication and engineering
111402,ELECTRONCIS & COMMUNICATION,electroncis and communication
111413,ELECTRONICS & COMMUNICATION ENGINNERING,electronics and communication enginnering
111418,ELECTRONICS & TELECOMUNICATION ENGINEERING,electronics and telecomunication engineering
111427,ELECTRONICS AND INSTRUMENTATION,electronics and instrumentation
111430,Electronics & Communication Engineering - 2nd Shift,electronics and communication engineering 2nd shi
111439,Electronics (Communication),electronics communication
111454,ELECTRONOICS,electronoics
111458,ELETRONICS AND COMMUNICATION,eletronics and communication
111462,LASER AND ELECTRO OPTICAL,laser and electro optical
111467,M.E Applied Electronics,applied electronics
111473,DROBO,drobo
111479,Electrical Power Engineering,electrical power engineering
111480,Electrical Engineering I Shift,electrical engineering i shi
111484,Electrical Drives and Embedded Control (PT),electrical drives and embedded control pt
111487,electrical engineering,electrical engineering
111488,PSE,pse
111490,ELECTRICAL ENGG,electrical engineering
111493,ELECTRICAL AND ELECTRONICS     ENGINEERING,electrical and electronics engineering
111496,M.Tech-Po,electrical engineering
111497,E&E,e and e
111501,ELECTRICAL AND ELECTRONICS,electrical and electronics
111505,ELECTRICAL AND ELETRONICS ENGG,electrical and eletronics engineering
111508,electrical & Electronics,electrical and electronics
111513,Electrical Engg.,electrical engineering
111520,Electrical Engneering,electrical engneering
111533,electrical & electronics engineering,electrical and electronics engineering
111538,DEEE,deee
111544,DEEE 0707,deee 0707
111545,ELECTRICAL AND ELECTRONICS ANGINEERING,electrical and electronics angineering
111553,Electrical & Electronics Engineering (E.C.E),electrical and electronics engineering ece
111555,ELECTRICAL AND ELECTRONICS Engineering,electrical and electronics engineering
111558,electrical,electrical
111559,M.Tech. Electrical Engineering (Power system,electrical engineering power system
111567,eee,eee
111577,BE  ELETRICAL & ELETRONICS,eletrical and eletronics
111586,Power Systems Engineering,power systems engineering
111600,Electrical & Electronics Engg.,electrical and electronics engineering
111607,ELECRTICAL ENGINEERING,elecrtical engineering
111614,GENERAL SUBUJECT,general subuject
111620,DIPLOMA/EEE,/eee
111622,Dip Electrical Engineering,dip electrical engineering
111624,ELECTRICAL AND ELECTRONICS ENGG,electrical and electronics engineering
111632,Power Electronics And Drives,power electronics and drives
111636,B.E (EEE),eee
111646,Electrical Engg. (B.Tech. 4Y),electrical engineering 4y
111651,DIPLOMA IN ELECTRICAL AND ELECTRONICS ENGINEERING,electrical and electronics engineering
111654,Power Electronics and Power System,power electronics and power system
111665,ELECTRICAL POWER SYSTEMS,electrical power systems
111672,Diploma In Electronics and Telecommunication-0719,electronics and telecommunication 0719
111685,ELECTRONICS & TELECOMMUNICATION ENGG.,electronics and telecommunication engineering
111702,VLSI &ES,vlsi and es
111703,DILPOMA,dilpoma
111714,INSTRUMENTATION ENGG,instrumentation engineering
111723,electronics& communication,electronics and communication
111725,Electronics & Telecommunication Engineering (VLSI & Embedded System),electronics and telecommunication engineering vlsi and embedded system
111729,POLYTECNIC ELECTRONICS AND COMMUNICATION SECOND SHIFT,polytecnic electronics and communication second shi
111731,Electronics & Elec. Comm.Engg. (B.Tech.4Y),electronics and elec comm engineering 4y
111732,Communication and Netoworking,communication and netoworking
111748,EIE (hyd),eie hyd
111749,Electronics & Computer Engineering,electronics and computer engineering
111752,WIRELESS TECHNOLOGIES,wireless technologies
111753,Electronics and Communication (1st Shift),electronics and communication 1st shi
111756,DIGITAL SYSTEMS & COMPUTER ELECTROININCS (I SHIFT),digital systems and computer electroinincs i shi
111759,EC VLSI SYSTEM DISIGN,ec vlsi system disign
111771,Bachelor of Electronics and Communication  Engineering,bachelor electronics and communication engineering
111783,B.E ECE,ece
111789,VLSI Desgn,vlsi desgn
111804,Electronics & Tele Comm Engg,electronics and tele comm engineering
111823,ELECTRONICS AND TELE COMMUNICATION,electronics and tele communication
111824,Electronics & Telecom Engineering,electronics and telecom engineering
111826,MICRO ELECTRONICS & VLSI DESIGN,micro electronics and vlsi design
111833,Microwave and Television Engineering,microwave and television engineering
111834,Electronics and Communication Engineering VLSI,electronics and communication engineering vlsi
111836,VLSI Design & embedded System,vlsi design and embedded system
111841,ELECTRONICS AND TELE-COMMUNICATION,electronics and tele communication
111848,MASTERS IN SIGNAL PROCESSING AND COMMUNICATIONS,masters signal processing and communications
111850,ES&VLSI DESIGN,es and vlsi design
111860,VLSI Signal Processing,vlsi signal processing
111865,ELECTRONICS & TELECOM.,electronics and telecom
111870,ELECTRONICS ENGINEERGIN,electronics engineergin
111872,EXTC ENGINEERING,extc engineering
111874,Electronics & Telecom.,electronics and telecom
111888,Computer And Communications,computer and communications
111892,Electronics &  Communication Engg.,electronics and communication engineering
111894,Dual Degree (B.Tech. ECE + M.Tech. VLSI/DWCE),dual degree ece and vlsi/dwce
111907,ELECTRTONICS AND TELECOMMUNICATION ENGINEERING,electrtonics and telecommunication engineering
111910,ELECRONICS AND TELECOMMUNICATION,elecronics and telecommunication
111915,Electroncis & Communication,electroncis and communication
111916,Ph.D. (Electronics & Communication Engineering),electronics and communication engineering
111919,electronics and Communication,electronics and communication
111922,VLSI Design and Embedded systems,vlsi design and embedded systems
111927,Micro Electronics & VLSI,micro electronics and vlsi
111934,Electronics Communication & Engineering,electronics communication and engineering
111936,B. Tech Electronics & Comm. Engg.,electronics and comm engineering
111945,ELECTRONICS & COMMUNICATION ENGINEERING-FIRST SHIFT,electronics and communication engineering first shi
111947,VLSI SD,vlsi sd
111949,IA & RF Engg.,ia and rf engineering
111957,"VLSI, LIC, CSS",vlsi lic css
111968,M.E-ENGINEERNG,engineerng
111969,Digitial Electronics & Communication Engineering,digitial electronics and communication engineering
111975,Electronics (VLSI Design),electronics vlsi design
111983,M.TECH-DIGITAL ELECTRONICS & COMMUNICATION ENGINEERING,digital electronics and communication engineering
111985,E.S.T,est
111989,M.Tech - Electronics & Communication Engineering ing,electronics and communication engineering ing
111996,COMPUTER AND COMMUNICATIONS,computer and communications
112006,ELECTRONIC AND TELE COMMUNICA,electronic and tele communica
112010,Electronics and Avionics,electronics and avionics
112011,ELECTRONICS  AND  COMMUNICATIONS ENGINEERING,electronics and communications engineering
112015,C&N,c and n
112030,ELEX. ENGG.,elex engineering
112031,Electronics &Telecommunication,electronics and telecommunication
112033,Embedded Systems  and  VLSI desing,embedded systems and vlsi desing
112038,Electonics and Communication,electonics and communication
112044,M.Tech - Bio-medical Engg.,bio medical engineering
112051,ELECTRONICS & TELECOM. ENGINEERING,electronics and telecom engineering
112061,M.TECH VLSI,vlsi
112075,DECE-2,dece 2
112080,DIP,dip
112082,ECE-LEET,ece leet
112085,Digital Electronics  and communication systems,digital electronics and communication systems
112090,control System,control system
112093,Radio Frequency Design and Technology,radio frequency design and technology
112101,VLSI Shift-I,vlsi shii
112102,COMM,comm
112112,DEGITAL ELECTRONICS AND COMMUNICATION SYSTEMS,degital electronics and communication systems
112115,VLSI&Embedded Systems,vlsi and embedded systems
112118,Digital communication & ntwrking,digital communication and ntwrking
112120,ELECTRONICS &COMMUNICATION ENGG,electronics and communication engineering
112131,Electronics and  Instrumentation,electronics and instrumentation
112134,VLSI and Embedded System Design,vlsi and embedded system design
112154,ECE-1st Shift,ece 1st shi
112160,ECE-2nd Shift,ece 2nd shi
112166,Electronics & Tele Comm. Engg.-Second Shift,electronics and tele comm engineering second shi
112169,Electronic Communication Engineering,electronic communication engineering
112172,"Electronics and Instrumentation Engineering (ASE, BLR)",electronics and instrumentation engineering blr
112177,Elect & Ec,elect and ec
112180,Electronics and Communication Engineering I Shift,electronics and communication engineering i shi
112181,instrumentation,instrumentation
112188,DEIE,deie
112189,Power Systems & Automation,power systems and automation
112199,Wireless Communication Engineering,wireless communication engineering
112200,M.E - Electronics & Instrumentation,electronics and instrumentation
112213,ELECTRONCIS INSTRUMENTATION & CONTROL,electroncis instrumentation and control
112225,Electronics & Communication Engineering Wireless Communication Engineering,electronics and communication engineering wireless communication engineering
112228,Electronics & Communication Enginnering,electronics and communication enginnering
112235,ELECTRONICS SUBJECTS,electronics subjects
112239,Electronic And Comm.,electronic and comm
112241,ELECTRONICS  AND  TELECOMMUNICATION,electronics and telecommunication
112247,VLSI Design & Embedded Systems (Part Time),vlsi design and embedded systems part time
112248,Electronics Design and Technology,electronics design and technology
112253,ELECTRONICS & COMMUICATION,electronics and commuication
112255,COMMUNICATION  SYSTEM,communication system
112263,Master of Electrical Engineering,master electrical engineering
112266,Electronic Device and Control,electronic device and control
112269,electrical engg,electrical engineering
112273,Instrumentation & Control (Evening),instrumentation and control evening
112276,DIPLOMA IN ELECTRICAL ENGINEERING,electrical engineering
112281,"Electrical and Electronics Engineering (ASE, AMR)",electrical and electronics engineering
112283,Power system & Power electronics,power system and power electronics
112285,ELECTRICAL AND ELECTRONCIS ENGINEERING,electrical and electroncis engineering
112286,Metallurgy,metallurgy
112299,Electrical Engineering with specialization in power Electronics,electrical engineering with specialization power electronics
112304,B. Tech Electrical & Electronics Engg.,electrical and electronics engineering
112316,EE (E&P),ee e and p
112320,Power Electronics Drives,power electronics drives
112337,ELECTRICAL -2ND,electrical 2nd
112349,Eleectrical Engineering,eleectrical engineering
112352,POWER SYSTEM ENGINEERING,power system engineering
112363,Biometrics & cyber Security,biometrics and cyber security
112369,COMPUTER SCINCE AND ENGINEERING,computer science and engineering
112384,Computer Science & Systems Engineering,computer science and systems engineering
112397,COMPUTER SCIENCE&ENGINEERING,computer science
112400,ME Computer Networks,computer ne2rks
112407,Computer Science & Engneering,computer science and engneering
112414,COMPUTER SCINECE AND ENGINEERING,computer science and engineering
112417,Computer Science & Engineering (PT),computer science and engineering pt
112419,COMP. ENGG.,computer engineering
112420,"Computer Programming Through 'C',Professional Mathematics ,Operating System ,Engineering Mechanics",computer programming through 'c' professional mathematics operating system engineering mechanics
112442,COMPUTER SCIENCE & ENGINEERING.,computer science and engineering
112448,COMPUTER SCIENCE ENGINEERIGN,computer science engineerign
112451,COMPUTER SCIENCE AND,computer science 
112456,M.E. COMPUTER SCIENCE AND ENGINEERING,computer science and engineering
112467,COMPUTER SCIENC & ENGG,computer science and engineering
112495,Computer Networks and Information Secutity,computer ne2rks and information secutity
112501,CSE (hyd),cse hyd
112515,COMPUTER ENGINEERING ENGINEERING,computer engineering engineering
112551,Computer scinece & Engineering,computer science and engineering
112556,COMPUTER SCIENCE AND ENGINEERING (PG),computer science and engineering pg
112557,COMPUTER SC. & ENGG,computer science engineering
112591,CSE-QIP,cse qip
112595,Computer Eng.,computer eng
112605,COMPUTER  SCIENCE  &ENGINEERING,computer science and engineering
112609,Computer Science (II shift),computer science ii shi
112611,705,computer engineering
112624,COMPUTER SCIENCE ENGINNENG,computer science enginneng
112629,Computer Science & Engineering - II shift,computer science and engineering ii shi
112637,Wirelss mobile computing,wirelss mobile computer
112639,Computer Science engg,computer science engineering
112645,DCOM.E,dcom e
112647,"Computer Science - Internet Technologies (ASE, AMR)",computer science internet technologies
112648,"Cyber Security (ASE, AMR)",cyber security
112657,CS-Engg,cs engineering
112679,POST GRADUATE IN COMPUTER SCIENCE AND ENGINEERING,post graduate computer science and engineering
112682,CS&T,cs and t
112708,CSE (R),cse
112712,COMPUTER SCIENCE AND INFORMATION SYSTEM,computer science and information system
112715,Computer Science Engineering (Lateral),computer science engineering lateral entry
112727,Computational  Linguistics,computer linguistics
112737,E.E,electrical engineering
112739,Electrical Power System,electrical power system
112745,Electrical and Electroncis Engineering,electrical and electroncis engineering
112751,Bio-Metrics and Cyber Security,bio metrics and cyber security
112799,TECHNILIGY,techniligy
112812,Computer Science and Engineering (Information Security),computer science and engineering information security
112813,Enineering,enineering
112823,Computer Sc & Engg with specialization in Cloud Computing in association with IBM,computer science engineering with specialization cloud computer association with ibm
112827,Computer Science  &  Engineering,computer science and engineering
112828,Information scienceSE,information science
112834,COMPUTER SC. & TECHNOLOGY,computer science technology
112843,COMPUTER    ENGINEERING,computer engineering
112861,CE SS,cess
112864,Computer Science and Engineering (PT),computer science and engineering pt
112882,COMPUTER SCINECE ENGINEERING,computer science engineering
112892,.B.E.,computer engineering
112905,Department of Computer Science & Engg.,department computer science and engineering
112934,CS Engg,cs engineering
112940,Computer Science & Engg. (M.Tech. Dual 5Y) With Any Available Special Branch,computer science and engineering dual 5y with available special branch
112966,M.Tech.- Software  Engineering,soware engineering
112967,COMPUTER TECHNOLOGY - FIRST SHIFT,computer technology first shi
112969,Computer Sc.& Engg.,computer science engineering
112979,M. E. Computer Science & Engineering,computer science and engineering
112993,Parallel Distributed Systems,parallel distributed systems
112997,POST GRADUATE DIPLOMA COURSE IN COMPUTER HARDWARE & NETWORKING,course computer hardware and ne2rking
113008,M.Tech.- Computer Science   & Engineering,computer science and engineering
113016,Computer network,computer ne2rk
113019,Advanced Computing,advanced computer
113027,COMPUTER  SCIENCE AND ENGINEEING,computer science and engineeing
113037,COMPUTER  TECHNOLOGY,computer technology
113045,Manufacturing Systems,manufacturing systems
113058,Computer Eng,computer eng
113062,computer Engineering,computer engineering
113077,SOFTWARE ENGG.,soware engineering
113128,Computer engineering,computer engineering
113129,M. TECH CSE,cse
113135,"Wireless Networks and Applications (ASE, AMR)",wireless ne2rks and applications
113141,M.Tech. in Computer Networking,computer ne2rking
113152,B. Tech Computer Science & Engineering,computer science and engineering
113153,COMPUTER SCIENCE& ENGG,computer science engineering
113155,PG-CSE,pg cse
113185,Computer Science & Engineering (Part time),computer science and engineering part time
113187,Computer Enginering,computer enginering
113189,B.Tech(CSE),b tech cse
113192,Ph.D. in Computer Science & Engineering,phdin computer science and engineering
113196,Computer Sc & Engg,computer science engineering
113208,M.E. Computer Science and Engineering,computer science and engineering
113214,Technology & Management,technology and management
113216,Computer Science Information Security,computer science information security
113225,NIMS,nims
113227,DCoE,dcoe
113235,INTERNET TECHNOLOGY,internet technology
113242,Computer Networks & Information Security,computer ne2rks and information security
113255,Computer Scienc and Engineering,computer science and engineering
113259,Department of Computer Technology,department computer technology
113260,Ph.D - Computer Science & Systems Engineering,computer science and systems engineering
113273,Computer Intergrated Manufacturing,computer intergrated manufacturing
113288,Computer Science  & Engg.,computer science and engineering
113291,Computer Science Spz in BFSI,computer science spz bfsi
113295,computer Science & Engg,computer science and engineering
113300,CSE with Spz in Oil & Gas Informatics,cse with spz oil and gas informatics
113314,Computer Engineeri8ng,computer engineeri8ng
113319,Computer Sceince & Engineering,computer science and engineering
113321,computer science& Enginnering,computer science enginnering
113322,Computer science and Engineering,computer science and engineering
113342,Computer Science and Engineerng,computer science and engineerng
113349,Computer Science & Information Technology ,computer science and information technology
113356,Computer Science And EngineeringEngineering,computer science and engineeringengineering
113365,Computer science & Engg.,computer science and engineering
113366,CSE-Integrated,cse integrated
113368,Computer Science and Enineering,computer science and enineering
113369,POLYTECHNIC COMPUTER SCI DIPLOMA,polytechnic computer science
113375,COMPUTR SCIENCE,computer science
113378,SS,computer engineering
113382,Diploma in Computer Engg.,computer engineering
113383,Computer Technology-Second Shift,computer technology second shi
113385,IT SYSTEM AND NETWORK SECURITY,it system and ne2rk security
113387,Computer Engg first shift,computer engineering first shi
113398,Computer science &   engineering,computer science and engineering
113404,CSE Dual Degree,cse dual degree
113409,Computer Sc and Engineering (2nd shift),computer science and engineering 2nd shi
113430,Comuter Science & Engineering,comuter science and engineering
113436,SYSTEMS ENGINEERING AND OPERATIONS RESEARCH,systems engineering and operations research
113442,COMMUNICATION AND NET WORKING,communication and net working
113448,Basic of Information   Technology,basic information technology
113460,Digital Electronics and  Communication Engineering,digital electronics and communication engineering
113475,ELECTRONIC System Engineering,electronic system engineering
113487,ELECTRONICS & COMMUNICATIONS ENGINEEIRNG,electronics and communications engineeirng
113489,E & TC ENGG,e and tc engineering
113497,Computer Engin,computer engin
113499,08,computer engineering
113508,cyber security,cyber security
113526,cs engineering,cs engineering
113536,Computer Science AND eNGINEERING,computer science and engineering
113537,M.Tech Computer Science Engg.,computer science engineering
113543,COMPUTER SCIENCE &ENGG.,computer science and engineering
113545,Information Science and Technology,information science and technology
113547,Computer Engineerin,computer engineerin
113550,B.E. COMPUTER SCIENCE AND ENGINEERING,computer science and engineering
113567,M.E CSE,cse
113582,Computer Science & En,computer science and en
113615,Master of Computer Science & Engineering,master computer science and engineering
113625,Computer 2nd Shift,computer 2nd shi
113629,Mobile and Pervasive Computing,mobile and pervasive computer
113632,M Tech CNE,cne
113643,omputer Science and Engineering,omputer science and engineering
113659,Computer Technology and Application,computer technology and application
113663,CSE-2,cse 2
113668,Computer Technol,computer technol
113669,Computer Science and ENgineerign,computer science and engineerign
113671,Computer Science and Engineering - Part Time,computer science and engineering part time
113682,Computer Sci & Engg,computer science and engineering
113692,Computure science,computer science
113693,Computer Science  & Technology,computer science and technology
113710,Department of Electronics &Computers Engineering,department electronics and computer engineering
113724,Computer  science & Engineering,computer science and engineering
113748,Computer  Engineering,computer engineering
113767,UG Computer,computer
113772,COMPUTER SCIENCE & ENGINNERING,computer science and enginnering
113774,Embedded System & Computing,embedded system and computer
113783,Computer Science & EnggMechanical & Automatiomn,computer science and engineering and automatiomn
113800,CSE & ECE,cse and ece
113823,Comp Sc & Engg.,computer science engineering
113850,SOFTWARE SYSTMES,soware systmes
113852,B.Tech. Computer Science & Systems Engineering,computer science and systems engineering
113861,CSE (LEET),cse lateral entry
113862,Dual Degree- B.Tech (CSE) & M.Tech (CSE),dual degree cse and cse
113865,BE IN Computer science and engineering,bein computer science and engineering
113872,INFORMATIN TECHNOLOGY,informatin technology
113881,DCME-1,dcme 1
113891,Computer Science 7 Technology,computer science 7 technology
113895,COMPUTER SCIENCE ENG,computer science eng
113899,ME-CSE(Cloud Computing),cse cloud computer
113920,Comp. Sc. Engg.,computer science engineering
113921,COMPUTER ENGINEERING ( FIRST SHIFT ),computer engineering first shi
113923,CN&IS,cn and is
113929,Information Science  & Technology,information science and technology
113945,ENGG& TECH,engineering tech
113974,Software engg.,soware engineering
113984,Computer Science & Engineering - 1st Shift,computer science and engineering 1st shi
113990,D.CM.E.,dcme
113993,B,computer engineering
113995,Computer Engg  second shift,computer engineering second shi
114016,ELECTRICAL & ELECTRONICS ENGG.,electrical and electronics engineering
114030,Electrical(PTDC),electrical ptdc
114033,BE Electrical & Electronics Engg.,electrical and electronics engineering
114043,ELECTRICIAN,electrician
114045,Electricals and Electronics Engineering,electricals and electronics engineering
114050,EEE(PE),eee pe
114052,"ELECTRICAL, ELECTRONICS AND POWER ENGINEERING",electrical electronics and power engineering
114065,ELECTRICAL  AND  ELECTRONICS ENGINEERING,electrical and electronics engineering
114072,ELECTRICAL AND ELATRONICS ENGINEERING,electrical and elatronics engineering
114077,Power Electronics & Electrical Drives,power electronics and electrical drives
114087,Elecrtical,elecrtical
114097,PEPS,peps
114099,Power Electronics and Electrical Drives,power electronics and electrical drives
114100,Electrical & Electronics Engineering Department,electrical and electronics engineering department
114104,Ph.D. (Electronics & Electrical Engineering),electronics and electrical engineering
114107,"Power System, Power Electronics, Electric Drives, Instrumentation & Control, Control Engg., High Voltage Engg., Electrical Machines, Fuzzy Control & Applications, Non Conventional Energy System.",power system power electronics electric drives instrumentation and control control engineering high voltage engineering electrical machines fuzzy control and applications non conventional energy system
114108,Smart Energy System,smart energy system
114109,Electrical Engineering (Evening),electrical engineering evening
114110,Polytechnic - Electrical Engineering,polytechnic electrical engineering
114119,Electrical Machinery Design,electrical machinery design
114124,elctrical engg,elctrical engineering
114135,Industrial Power Control And Drives,industrial power control and drives
114137,ELECTICAL AND  ELECTRONICS ENGINEERING,electical and electronics engineering
114139,B.Tech Electrical Engineering,electrical engineering
114148,EE(IC),ee ic
114165,ELECTRICALAND ELECTRONICS ENGINEERING,electricaland electronics engineering
114171,B.E. ELECTRICAL ENGINEERING,electrical engineering
114173,Electical and Electronics Engineerin (PT),electical and electronics engineerin pt
114174,CONTROL SYSTEM,control system
114177,Elect Engg,elect engineering
114181,Electrical & Electronic Engineering,electrical and electronic engineering
114184,Electrical Enginering,electrical enginering
114186,POWER ELECTRONICS AND DRIVEIS,power electronics and driveis
114190,C,electrical engineering
114192,Dual Degree (B.Tech. EE+ M.Tech. Power Sys/Energy),dual degree ee and power sys/energy
114200,E&EE,e and ee
114210,Reliability Engineering,reliability engineering
